IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Sector,Industry,Country,Employees,Founded,Volume,Rating,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Rev. Growth (Q),Gross Profit,GP Growth,Net Income,NetInc Growth,EBITDA,Investing CF,Financing CF,Profit Margin,Tax / Revenue,Equity,Working Capital
2020-11-19,CHFW,Consonance-HFW Acquisition Corp.,10.00,9.79,-2.10%,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,
2020-11-19,RTPZ,Reinvent Technology Partners Z,10.00,9.79,-2.10%,,,,,,,Financial Services,Shell Companies,United States,,,,,,,,,,,,,,,,,,,,,
2020-11-19,LNFA,L&F Acquisition Corp.,10.00,10.57,5.70%,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,
2020-11-18,PHIC,"Population Health Investment Co., Inc.",10.00,10.07,0.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-17,PIPP,Pine Island Acquisition Corp.,10.00,10.03,0.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-17,OTRA,OTR Acquisition Corp.,10.00,9.91,-0.90%,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,
2020-11-17,ZNTE,Zanite Acquisition Corp.,10.00,11.32,13.20%,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,
2020-11-17,DGNS,Dragoneer Growth Opportunities Corp. II,10.00,10.20,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13,BWAC,Better World Acquisition Corp.,10.00,10.85,8.50%,70384710,11000000,110000000,,,OTCMKTS,Financials,Shell Companies,United States,,,193,,,,,,,,,,995308,-83.55%,-2457965,98793629,-97129095,,,27280089,-4363160
2020-11-13,CFAC,CF Finance Acquisition Corp. III,10.00,8.97,-10.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13,HAAC,Health Assurance Acquisition Corp.,10.00,10.05,0.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13,DMYI,"dMY Technology Group, Inc. III",10.00,10.40,4.00%,,,,,,,Financial Services,Shell Companies,United States,,,,,,,,,,,,,,,,,,,,,
2020-11-11,NOAC,Natural Order Acquisition Corp.,10.00,10.06,0.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-11,STIC,Northern Star Acquisition Corp.,10.00,12.19,21.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,ADOC,Edoc Acquisition Corp.,10.00,2.85,-71.50%,10317598,10000000,100000000,,,NASDAQ,Financials,Shell Companies,United States,,,571568,,,,,,,,,,-3552973,,-3521970,18621431,53938288,,,-5272300,-5261334
2020-11-10,TSIA,TS Innovation Acquisitions Corp.,10.00,10.83,8.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-06,DBDR,Roman DBDR Tech Acquisition Corp.,10.00,9.95,-0.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-30,LU,Lufax Holding Ltd,13.50,4.58,-66.07%,2493944679,175000000,2362500000,46.40,-90.13%,NYSE,Financials,Credit Services,China,71034,2005,3314060,Buy,0.16,3.41%,,4831504372,-41.06%,-44.34%,4728008337,-41.06%,125086742,-89.81%,263831778,-819498703,-2837043284,2.59%,1.74%,12717728703,
2020-10-30,AVIR,"Atea Pharmaceuticals, Inc.",24.00,3.69,-84.62%,310567005,12500000,300000000,27.02,-86.34%,NASDAQ,Healthcare,Biotechnology,United States,75,,157294,Sell,,,,,,,,,-135956000,,-134522000,40303000,257000,,,555192000,558079000
2020-10-30,CONX,CONX Corp.,10.00,10.56,5.60%,220390030,75000000,750000000,,,NASDAQ,Financials,Shell Companies,United States,1,,618,,,,,,,,,,-5994501,,-5929032,62544762,-62144762,,,-40029628,-3974128
2020-10-30,SHOT,Safety Shot Inc,7.50,1.66,-77.87%,81705698,1000000,7500000,6.30,-73.65%,NASDAQ,Consumer Staples,Beverages - Non-Alcoholic,United States,8,2018,394153,,,,,202670,68.01%,,-74457,,-15083041,,-14697466,-330047,12799621,-7442.17%,,8817136,4103687
2020-10-30,SQZB,SQZ Biotechnologies Company,16.00,0.05,-99.71%,825750,4411765,70588240,15.05,-99.69%,OTCMKTS,Healthcare,Biotechnology,MA,53,2013,16,,,,,18610000,-24.08%,,18610000,-24.08%,-76113000,,-64129000,-359000,4204000,-408.99%,,40156000,31758000
2020-10-30,NBA,New Beginnings Acquisition Corp.,10.00,9.75,-2.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-30,BHSE,Bull Horn Holdings Corp.,10.00,11.95,19.50%,,,,,,NASDAQ,Financial Services,Shell Companies,United States,,2018,1176367,,,,,,,,,,,,,,,,,,
2020-10-29,ALGM,"Allegro MicroSystems, Inc.",14.00,29.13,108.07%,5625760380,25000000,350000000,19.40,50.15%,NASDAQ,Technology,Semiconductors,United States,4687,1990,1159428,Buy,,,,1078231000,19.21%,2.49%,604370000,20.25%,221789000,46.88%,315069000,-532849000,194844000,20.57%,2.18%,1134232000,429309000
