IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Premkt. Price,Volume,Country,Employees,Sector,Industry,Founded,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Gross Profit,Rev. Growth (Q),GP Growth,EBITDA,Investing CF,Financing CF,Net CF,Working Capital,Equity,Rating
2023-03-28,TMTC,TMT Acquisition Corp,10.00,10.84,8.40%,88237600,6000000,60000000,,,NASDAQ,,2,NY,,Financials,Shell Companies,2021,,,,,,,,,,,,,248833,290722,
2023-03-28,YGFGF,YanGuFang International Group Co. Ltd.,4.00,0.00,-99.96%,23465600,2000000,8000000,,,OTCMKTS,,1192,China,291,Consumer Staples,Packaged Foods,2012,,,,,,,,,,,,,-20679813,19942935,
2023-03-24,OAKU,Oak Woods Acquisition Corporation,10.00,10.76,7.60%,81029471,5000000,50000000,,,NASDAQ,,12943,Canada,,Financials,Shell Companies,2022,,,,,,,,,,,,,520661,5366187,
2023-03-23,BANL,CBL International Limited,4.00,1.08,-73.00%,22950000,3325000,13300000,4.21,-74.35%,NASDAQ,,3203,Malaysia,35,Energy,Oil & Gas Midstream,2015,,,,435897718,33.49%,7211125,,-5.00%,1983178,-773863,13176717,2370000,24152526,25306204,
2023-03-21,OMH,Ohmyhome Limited,4.00,0.57,-85.80%,12937302,2800000,11200000,3.80,-85.05%,NASDAQ,0.59,136199,Singapore,48,Real Estate,Real Estate Services,2015,,,,3791283,14.21%,1264482,,-27.93%,-3641524,-3334341,6875286,-80609,-1270729,3272810,Strong Buy
2023-03-21,MGRX,"Mangoceuticals, Inc.",4.00,0.28,-93.07%,6547325,1250000,5000000,4.20,-93.40%,NASDAQ,0.27,410140,United States,3,Healthcare,Health Information Services,2021,,,,731493,8083.16%,431501,2633.80%,8796.93%,-9187528,-3519,7057040,56146,607382,774754,
2023-03-17,FORL,Four Leaf Acquisition Corporation,10.00,10.83,8.30%,73973871,5200000,52000000,,,NASDAQ,,6021,United States,,Financials,Shell Companies,2022,,,,,,,,,-6306,-2820,17906,1280,-686436,18694,
2023-03-16,ICG,Intchains Group Limited,8.00,9.05,13.09%,585324534,1000000,8000000,8.00,13.09%,NASDAQ,,16303,China,133,Technology,Semiconductors,2017,,,,82225000,-82.64%,1252777,5.32%,-97.65%,-4377544,-8968163,7068159,-2549715,106171701,131146240,
2023-03-15,IZM,ICZOOM Group Inc.,4.00,3.33,-16.75%,34386822,1500000,6000000,4.00,-16.75%,NASDAQ,3.19,2837816,China,109,Technology,Electronics & Computer Distribution,2011,,,,214405226,-23.25%,5292611,,-34.02%,3163783,-144227,8749216,3461344,14631027,15544196,
2023-03-09,AESI,Atlas Energy Solutions Inc.,18.00,23.16,28.67%,2544137441,18000000,324000000,17.50,32.34%,NYSE,,554142,United States,371,Energy,Oil & Gas Equipment & Services,2017,0.20,0.86%,,613960000,27.19%,313766000,-5.82%,22.42%,186130000,-365486000,194623000,128164000,226094000,867824000,Strong Buy
2023-03-09,AIXI,Xiao-I Corporation,6.80,1.28,-81.18%,88626400,5700000,38760000,6.80,-81.18%,NASDAQ,1.31,85133,China,352,Technology,Software - Application,2001,,,,61800896,346.00%,42136559,,535.67%,,,,,-5977796,3699612,
2023-02-28,SBXC,SilverBox Corp III,10.00,10.56,5.55%,182073750,12000000,120000000,,,NYSE,,12277,United States,5,Financials,Shell Companies,2021,,,,,,,,,4524636,-138700000,141174669,777758,-484030,-4475202,
