IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Shares Offered,Deal Size,Open Price,Return (Open),Exchange,Sector,Industry,Country,Employees,Founded,Volume,Close,Div. ($),Div. Yield,Div. Growth,Revenue,Rev. Growth,Rev. Growth (Q),Gross Profit,GP Growth,Net Income,NetInc Growth,EBITDA,Profit Margin,Tax / Revenue,Equity,Working Capital,Rating
2022-04-27,TNON,"Tenon Medical, Inc.",5.00,0.73,-85.40%,2720691,4000000,20000000,220.50,-99.67%,NASDAQ,Healthcare,Medical Devices,United States,21,2012,10570,0.77,,,,2928000,323.73%,191.70%,1241000,,-15581000,,-15134000,-532.14%,,778000,749000,Buy
2022-04-26,AIMAU,Aimfinity Investment Corp. I,10.00,11.22,12.20%,99779,7000000,70000000,9.96,12.65%,NASDAQ,Financials,Shell Companies,United States,,2021,1,11.22,,,,,,,,,1915114,,1915114,,,-4474445,-1656945,
2022-04-22,JCSE,JE Cleantech Holdings Limited,4.00,0.78,-80.50%,3905199,3750000,15000000,42.60,-98.17%,NASDAQ,Industrials,Specialty Industrial Machinery,Singapore,102,1999,743,0.75,,,,14888235,-15.09%,,4105727,-15.60%,973529,-58.64%,2001772,6.54%,1.53%,12135603,9339886,
2022-04-22,ACON,"Aclarion, Inc.",4.35,0.39,-90.97%,2809179,2000000,8700000,46.40,-99.15%,NASDAQ,Healthcare,Health Information Services,United States,4,2008,114952394,0.29,,,,75404,24.75%,-38.73%,-324,,-4911374,,-4140416,-6513.41%,,-727995,-1898400,
2022-04-20,YOTA,Yotta Acquisition Corporation,10.00,10.61,6.10%,41854699,10000000,100000000,,,NASDAQ,Financials,Shell Companies,United States,2,2021,1000,10.62,,,,,,,,,216568,,,,,-6657776,-2632776,
2022-04-14,STSS,"Sharps Technology, Inc.",4.25,0.28,-93.29%,4466206,3750000,15937500,2.65,-89.25%,NASDAQ,Healthcare,Medical Instruments & Supplies,United States,57,2017,8880,0.29,,,,,,,,,-9841638,,-9127579,,,7934286,1145569,Strong Buy
2022-04-13,EE,"Excelerate Energy, Inc.",24.00,16.92,-29.50%,432424355,16000000,384000000,28.20,-40.00%,NYSE,Energy,Oil & Gas Midstream,United States,915,2003,123195,17.04,0.10,0.59%,,1158963000,-53.13%,-47.25%,412404000,15.52%,30412000,128.27%,259640000,2.62%,2.87%,505446000,495856000,Buy
2022-04-13,AFAR,Aura FAT Projects Acquisition Corp,10.00,11.23,12.30%,64928446,10000000,100000000,,,NASDAQ,Financials,Shell Companies,Singapore,2,2021,465,11.21,,,,,,,,,2753077,,2753077,,,-4534903,-509903,
2022-04-12,GNS,Genius Group Limited,6.00,0.41,-93.24%,30285077,3272727,19636362,15.11,-97.32%,NYSEAMERICAN,Consumer Staples,Education & Training Services,Singapore,475,2002,2113275,0.42,,,,22546100,171.81%,,2185796,-20.73%,-62323001,,-57750831,-276.42%,-6.05%,-97820,-8135344,
2022-04-07,DECA,Denali Capital Acquisition Corp.,10.00,8.51,-14.90%,60508942,7500000,75000000,,,NASDAQ,Financials,Shell Companies,United States,1,2022,30534,8.37,,,,,,,,,-1501529,,,,,-5193053,-2305553,
2022-04-01,MSSA,Metal Sky Star Acquisition Corporation,10.00,11.18,11.80%,98515781,10000000,100000000,,,NASDAQ,Financials,Shell Companies,United States,,2021,5365,11.17,,,,,,,,,1873721,,2030399,,,-3824497,54376422,
2022-04-01,XPON,Expion360 Inc.,7.00,2.33,-66.71%,16396063,2145000,15015000,7.90,-70.51%,NASDAQ,Industrials,Electrical Equipment & Parts,United States,23,2016,34835,2.13,,,,5981134,-16.50%,-39.60%,1575523,-31.15%,-7456274,,-7122747,-124.66%,0.06%,5349682,4250507,
2022-03-31,RVSN,Rail Vision Ltd.,4.13,1.07,-74.09%,17638715,3550000,14661500,25.12,-95.74%,NASDAQ,Industrials,Railroads,Israel,49,2016,460177,1.11,,,,142000,-66.27%,,81000,,-11148000,,-10977000,-7850.70%,,2787000,1992000,
2022-03-31,RWOD,Redwoods Acquisition Corp.,10.00,6.07,-39.30%,10684378,10000000,100000000,,,NASDAQ,Financials,Shell Companies,United States,2,2021,182857,6.20,,,,,,,,,2358972,,2936770,,,-4877792,-64203930,
2022-03-25,ANTX,"AN2 Therapeutics, Inc.",15.00,2.28,-84.80%,67876453,4600000,69000000,16.85,-86.47%,NASDAQ,Healthcare,Biotechnology,United States,41,2017,178221,2.40,,,,,,,,,-64732000,,-64679000,,,124701000,96464000,Hold
2022-03-25,LCFY,Locafy Limited,4.13,3.57,-13.56%,4556205,1818181,7509088,66.80,-94.66%,NASDAQ,Communication Services,Internet Content & Information,Australia,34,2009,1063,3.69,,,,3111080,-13.15%,-32.39%,2983521,-13.15%,-866287,,,-27.85%,,2516757,-233386,
